Datetime,Load
2022-04-07 10:40:39,630
2022-04-07 11:40:39,647
2022-04-07 12:40:39,459
2022-04-07 13:40:39,522
2022-04-07 14:40:39,397
2022-04-07 15:40:39,387
2022-04-07 16:40:39,543
2022-04-07 17:40:39,698
2022-04-07 18:40:39,797
2022-04-07 19:40:39,835
2022-04-07 20:40:39,781
2022-04-07 21:40:39,917
2022-04-07 22:40:39,1026
2022-04-07 23:40:39,847
2022-04-08 00:40:39,999
2022-04-08 01:40:39,963
2022-04-08 02:40:39,901
2022-04-08 03:40:39,1196
2022-04-08 04:40:39,1430
2022-04-08 05:40:39,1298
2022-04-08 06:40:39,1293
2022-04-08 07:40:39,1269
2022-04-08 08:40:39,1212
2022-04-08 09:40:39,898
