Datetime,Load.0
2022-04-07 10:48:26,1071.0
2022-04-07 11:48:26,890.0
2022-04-07 12:48:26,832.0
2022-04-07 13:48:26,710.0
2022-04-07 14:48:26,637.0
2022-04-07 15:48:26,804.0
2022-04-07 16:48:26,862.0
2022-04-07 17:48:26,930.0
2022-04-07 18:48:26,1216.0
2022-04-07 19:48:26,1102.0
2022-04-07 20:48:26,1230.0
2022-04-07 21:48:26,1208.0
2022-04-07 22:48:26,1461.0
2022-04-07 23:48:26,1605.0
2022-04-08 00:48:26,1200.0
2022-04-08 01:48:26,1543.0
2022-04-08 02:48:26,1481.0
2022-04-08 03:48:26,1602.0
2022-04-08 04:48:26,2299.0
2022-04-08 05:48:26,2026.0
2022-04-08 06:48:26,1942.0
2022-04-08 07:48:26,1782.0
2022-04-08 08:48:26,1950.0
2022-04-08 09:48:26,1607.0
2022-04-08 10:48:26,859.0
2022-04-08 11:48:26,686.0
2022-04-08 12:48:26,749.0
2022-04-08 13:48:26,694.0
2022-04-08 14:48:26,690.0
2022-04-08 15:48:26,620.0
2022-04-08 16:48:26,693.0
2022-04-08 17:48:26,731.0
2022-04-08 18:48:26,939.0
2022-04-08 19:48:26,841.0
2022-04-08 20:48:26,1059.0
2022-04-08 21:48:26,1375.0
2022-04-08 22:48:26,1081.0
2022-04-08 23:48:26,1193.0
2022-04-09 00:48:26,1154.0
2022-04-09 01:48:26,1130.0
2022-04-09 02:48:26,1006.0
2022-04-09 03:48:26,1500.0
2022-04-09 04:48:26,1889.0
2022-04-09 05:48:26,1909.0
2022-04-09 06:48:26,1804.0
2022-04-09 07:48:26,1368.0
2022-04-09 08:48:26,1265.0
2022-04-09 09:48:26,1210.0
2022-04-09 10:48:26,944.0
2022-04-09 11:48:26,872.0
2022-04-09 12:48:26,618.0
2022-04-09 13:48:26,632.0
2022-04-09 14:48:26,546.0
2022-04-09 15:48:26,702.0
2022-04-09 16:48:26,730.0
2022-04-09 17:48:26,817.0
2022-04-09 18:48:26,992.0
2022-04-09 19:48:26,1140.0
2022-04-09 20:48:26,922.0
2022-04-09 21:48:26,1356.0
2022-04-09 22:48:26,1177.0
2022-04-09 23:48:26,1235.0
2022-04-10 00:48:26,1326.0
2022-04-10 01:48:26,1182.0
2022-04-10 02:48:26,1306.0
2022-04-10 03:48:26,1395.0
2022-04-10 04:48:26,1938.0
2022-04-10 05:48:26,1793.0
2022-04-10 06:48:26,1627.0
2022-04-10 07:48:26,1414.0
2022-04-10 08:48:26,1371.0
2022-04-10 09:48:26,1373.0
2022-04-10 10:48:26,846.0
2022-04-10 11:48:26,837.0
2022-04-10 12:48:26,738.0
2022-04-10 13:48:26,664.0
2022-04-10 14:48:26,726.0
2022-04-10 15:48:26,604.0
2022-04-10 16:48:26,562.0
2022-04-10 17:48:26,709.0
2022-04-10 18:48:26,1011.0
2022-04-10 19:48:26,1222.0
2022-04-10 20:48:26,1342.0
2022-04-10 21:48:26,1087.0
2022-04-10 22:48:26,1212.0
2022-04-10 23:48:26,1220.0
2022-04-11 00:48:26,997.0
2022-04-11 01:48:26,1253.0
2022-04-11 02:48:26,1244.0
2022-04-11 03:48:26,1472.0
2022-04-11 04:48:26,1937.0
2022-04-11 05:48:26,1906.0
2022-04-11 06:48:26,1702.0
2022-04-11 07:48:26,1736.0
2022-04-11 08:48:26,1353.0
2022-04-11 09:48:26,1303.0
2022-04-11 10:48:26,841.0
2022-04-11 11:48:26,821.0
2022-04-11 12:48:26,707.0
2022-04-11 13:48:26,731.0
2022-04-11 14:48:26,716.0
2022-04-11 15:48:26,545.0
2022-04-11 16:48:26,654.0
2022-04-11 17:48:26,936.0
2022-04-11 18:48:26,911.0
2022-04-11 19:48:26,1035.0
2022-04-11 20:48:26,1174.0
2022-04-11 21:48:26,1192.0
2022-04-11 22:48:26,1311.0
2022-04-11 23:48:26,1093.0
2022-04-12 00:48:26,1302.0
2022-04-12 01:48:26,1147.0
2022-04-12 02:48:26,1255.0
2022-04-12 03:48:26,1378.0
2022-04-12 04:48:26,1952.0
2022-04-12 05:48:26,1764.0
2022-04-12 06:48:26,1568.0
2022-04-12 07:48:26,1363.0
2022-04-12 08:48:26,1500.0
2022-04-12 09:48:26,1257.0
2022-04-12 10:48:26,918.0
2022-04-12 11:48:26,800.0
2022-04-12 12:48:26,796.0
2022-04-12 13:48:26,617.0
2022-04-12 14:48:26,611.0
2022-04-12 15:48:26,625.0
2022-04-12 16:48:26,724.0
2022-04-12 17:48:26,769.0
2022-04-12 18:48:26,1092.0
2022-04-12 19:48:26,1197.0
2022-04-12 20:48:26,1177.0
