Time (Hour),Load (W)
0,936
1,834
2,656
3,625
4,623
5,521
6,545
7,786
8,802
9,805
10,920
11,1284
12,1281
13,1083
14,1277
15,1067
16,1164
17,1496
18,1840
19,1836
20,1836
21,1347
22,1454
23,1017
24,624
25,598
26,510
27,512
28,578
29,474
30,557
31,565
32,772
33,785
34,1066
35,945
36,861
37,944
38,1025
39,994
40,894
41,1053
42,1515
43,1408
44,1337
45,1373
46,1046
47,1046
48,592
49,606
50,548
51,582
52,582
53,403
54,566
55,714
56,775
57,904
58,782
59,933
60,940
61,1003
62,824
63,916
64,819
65,1237
66,1525
67,1480
68,1364
69,1068
70,968
71,849
72,735
73,616
74,481
75,439
76,443
77,403
78,451
79,642
80,719
81,1001
82,998
83,826
84,917
85,973
86,794
87,764
88,802
89,1079
90,1489
91,1311
92,1235
93,1358
94,1030
95,910
96,591
97,617
98,621
99,507
100,446
101,411
102,449
103,734
104,718
105,836
106,816
107,1075
108,832
109,1016
110,848
111,1016
112,989
113,1062
114,1492
115,1330
116,1434
117,1382
118,956
119,947
120,700
121,604
122,512
123,512
124,457
125,437
126,569
127,601
128,673
129,982
130,1001
131,1065
132,994
133,994
134,801
135,954
136,1002
137,1245
138,1472
139,1514
140,1223
141,1158
142,1099
143,1073
144,1059
145,889
146,669
147,728
148,625
149,623
150,769
151,878
152,1026
153,918
154,1082
155,1152
156,1401
157,1167
158,1114
159,1398
160,1375
161,1479
162,2053
163,2075
164,1712
165,1767
166,1780
167,1085
168,805
169,854
170,638
171,757
172,520
173,593
174,583
175,792
176,1081
177,946
178,1274
179,1331
180,1084
181,1193
182,1003
183,1237
184,1011
185,1463
186,1947
187,1879
188,1513
189,1528
190,1273
191,1111
192,622
193,674
194,618
195,607
196,438
197,494
198,541
199,612
200,706
201,816
202,792
203,966
204,1077
205,884
206,795
207,989
208,825
209,1172
210,1484
211,1403
212,1407
213,1295
214,1191
215,961
216,674
217,622
218,581
219,487
220,570
221,405
222,568
223,565
224,708
225,762
226,890
227,932
228,1048
229,997
230,944
231,783
232,997
233,1119
234,1503
235,1294
236,1161
237,1072
238,1144
239,926
240,711
241,586
242,612
243,525
244,481
245,460
246,567
247,620
248,794
249,1002
250,811
251,817
252,930
253,858
254,945
255,768
256,910
257,1235
258,1478
259,1336
260,1328
261,1338
262,1053
263,999
264,804
265,557
266,477
267,448
268,469
269,415
270,453
271,552
272,767
273,670
274,832
275,917
276,1104
277,870
278,998
279,886
280,846
281,1159
282,1450
283,1415
284,1397
285,1279
286,1262
287,842
288,758
289,652
290,493
291,509
292,584
293,505
294,480
295,746
296,757
297,685
298,775
299,1036
300,928
301,824
302,912
303,797
304,796
305,1079
306,1444
307,1300
308,1294
309,1221
310,1059
311,1047
312,1128
313,869
314,790
315,780
316,723
317,632
318,653
319,955
320,1134
321,1272
322,1161
323,1319
324,1257
325,1413
326,1426
327,1203
328,1372
329,1723
330,2045
331,1826
332,1967
333,1669
334,1332
335,1128
