Time (Hour),Load (W)
2022-01-24 21:52:17,1473
2022-01-24 22:52:17,1466
2022-01-24 23:52:17,1286
2022-01-25 00:52:17,1068
2022-01-25 01:52:17,1178
2022-01-25 02:52:17,976
2022-01-25 03:52:17,1104
2022-01-25 04:52:17,1479
2022-01-25 05:52:17,1573
2022-01-25 06:52:17,1954
2022-01-25 07:52:17,2156
2022-01-25 08:52:17,1938
2022-01-25 09:52:17,2154
2022-01-25 10:52:17,2462
2022-01-25 11:52:17,2259
2022-01-25 12:52:17,2285
2022-01-25 13:52:17,1930
2022-01-25 14:52:17,2587
2022-01-25 15:52:17,3576
2022-01-25 16:52:17,3111
2022-01-25 17:52:17,3166
2022-01-25 18:52:17,2971
2022-01-25 19:52:17,2493
2022-01-25 20:52:17,1846
2022-01-25 21:52:17,1237
2022-01-25 22:52:17,1003
2022-01-25 23:52:17,892
2022-01-26 00:52:17,782
2022-01-26 01:52:17,696
2022-01-26 02:52:17,810
2022-01-26 03:52:17,742
2022-01-26 04:52:17,1167
2022-01-26 05:52:17,1040
2022-01-26 06:52:17,1486
2022-01-26 07:52:17,1630
2022-01-26 08:52:17,1472
2022-01-26 09:52:17,1793
2022-01-26 10:52:17,1358
2022-01-26 11:52:17,1532
2022-01-26 12:52:17,1461
2022-01-26 13:52:17,1582
2022-01-26 14:52:17,1937
2022-01-26 15:52:17,2434
2022-01-26 16:52:17,2209
2022-01-26 17:52:17,1940
2022-01-26 18:52:17,2166
2022-01-26 19:52:17,1719
2022-01-26 20:52:17,1747
2022-01-26 21:52:17,1241
2022-01-26 22:52:17,868
2022-01-26 23:52:17,849
2022-01-27 00:52:17,991
2022-01-27 01:52:17,725
2022-01-27 02:52:17,708
2022-01-27 03:52:17,784
2022-01-27 04:52:17,1019
2022-01-27 05:52:17,1015
2022-01-27 06:52:17,1304
2022-01-27 07:52:17,1249
2022-01-27 08:52:17,1661
2022-01-27 09:52:17,1545
2022-01-27 10:52:17,1380
2022-01-27 11:52:17,1543
2022-01-27 12:52:17,1606
2022-01-27 13:52:17,1353
2022-01-27 14:52:17,1765
2022-01-27 15:52:17,2357
2022-01-27 16:52:17,2279
2022-01-27 17:52:17,2269
2022-01-27 18:52:17,2049
2022-01-27 19:52:17,1560
2022-01-27 20:52:17,1432
2022-01-27 21:52:17,1277
2022-01-27 22:52:17,1078
2022-01-27 23:52:17,870
2022-01-28 00:52:17,732
2022-01-28 01:52:17,766
2022-01-28 02:52:17,741
2022-01-28 03:52:17,715
2022-01-28 04:52:17,1122
2022-01-28 05:52:17,1400
2022-01-28 06:52:17,1032
2022-01-28 07:52:17,1557
2022-01-28 08:52:17,1654
2022-01-28 09:52:17,1753
2022-01-28 10:52:17,1437
2022-01-28 11:52:17,1640
2022-01-28 12:52:17,1488
2022-01-28 13:52:17,1299
2022-01-28 14:52:17,1894
2022-01-28 15:52:17,2453
2022-01-28 16:52:17,2351
2022-01-28 17:52:17,1926
2022-01-28 18:52:17,1973
2022-01-28 19:52:17,1806
2022-01-28 20:52:17,1634
