Time (Hour),Load (W)
0,1287
1,1257
2,942
3,952
4,1035
5,995
6,912
7,1248
8,1583
9,1529
10,1767
11,1989
12,1714
13,1763
14,1653
15,1665
16,1806
17,2154
18,2674
19,2435
20,2634
21,1960
22,2080
23,1514
24,945
25,847
26,828
27,811
28,607
29,679
30,625
31,928
32,1166
33,996
34,1447
35,1179
36,1308
37,1190
38,1378
39,1319
40,1245
41,1677
42,2133
43,2108
44,1934
45,1605
46,1790
47,1171
48,981
49,848
50,815
51,664
52,796
53,770
54,661
55,893
56,1021
57,1044
58,1464
59,1208
60,1534
61,1288
62,1447
63,1098
64,1131
65,1631
66,2131
67,1945
68,2085
69,1670
70,1740
71,1449
72,841
73,895
74,826
75,718
76,598
77,680
78,704
79,874
80,854
81,943
82,1247
83,1445
84,1194
85,1291
86,1446
87,1252
88,1405
89,1569
90,2061
91,2076
92,2078
93,1748
94,1748
95,1354
96,1077
97,898
98,796
99,816
100,760
101,654
102,706
103,1045
104,1129
105,1326
106,1015
107,1513
108,1226
109,1357
110,1249
111,1161
112,1413
113,1603
114,2073
115,1901
116,1860
117,1841
118,1733
119,1527
120,981
121,769
122,800
123,692
124,821
125,658
126,639
127,989
128,1034
129,1399
130,1423
131,1270
132,1351
133,1353
134,1101
135,1173
136,1195
137,1618
138,2136
139,1807
140,1801
141,1860
142,1345
143,1166
144,1630
145,1251
146,987
147,1086
148,1158
149,855
150,1013
151,1501
152,1584
153,2006
154,1754
155,1858
156,1768
157,2028
158,1679
159,2103
160,1943
161,2530
162,3185
163,2843
164,2814
165,2610
166,2163
167,1926
168,1412
169,1235
170,1050
171,1042
172,882
173,878
174,1070
175,1453
176,1538
177,1449
178,1946
179,2021
180,1852
181,2196
182,2136
183,1902
184,1748
185,2654
186,3266
187,2968
188,2576
189,2361
190,2269
191,1618
192,888
193,939
194,827
195,651
196,755
197,591
198,803
199,974
200,1005
201,1117
202,1171
203,1483
204,1369
205,1218
206,1317
207,1146
208,1173
209,1733
210,2154
211,1820
212,1790
213,1649
214,1666
215,1274
216,1090
217,890
218,662
219,790
220,635
221,705
222,668
223,931
224,1156
225,1012
226,1062
227,1289
228,1428
229,1309
230,1217
231,1180
232,1160
233,1754
234,2139
235,2076
236,2032
237,1954
238,1382
239,1064
240,1063
241,796
242,862
243,821
244,816
245,673
246,793
247,1021
248,1074
249,1235
250,1176
251,1469
252,1496
253,1204
254,1262
255,1225
256,1399
257,1506
258,2052
259,1973
260,1839
261,1770
262,1402
263,1192
264,1120
265,827
266,901
267,867
268,575
269,665
270,780
271,908
272,1170
273,1385
274,1057
275,1439
276,1407
277,1281
278,1211
279,1182
280,1375
281,1742
282,2144
283,1816
284,1740
285,1725
286,1523
287,1300
288,1081
289,946
290,820
291,684
292,594
293,578
294,752
295,823
296,981
297,1316
298,1106
299,1387
300,1443
301,1306
302,1307
303,1287
304,1392
305,1637
306,2057
307,1877
308,2021
309,1832
310,1704
311,1261
312,1162
313,1108
314,1120
315,1079
316,812
317,936
318,1001
319,1207
320,1472
321,1203
322,1412
323,1830
324,2081
325,1767
326,1681
327,1681
328,1903
329,2283
330,2889
331,2702
332,2550
333,2030
334,1968
335,1450
