Time (Hour),Load (W)
2022-01-24 21:52:20,1771
2022-01-24 22:52:20,1532
2022-01-24 23:52:20,1384
2022-01-25 00:52:20,1427
2022-01-25 01:52:20,1476
2022-01-25 02:52:20,1165
2022-01-25 03:52:20,1180
2022-01-25 04:52:20,1854
2022-01-25 05:52:20,1668
2022-01-25 06:52:20,2031
2022-01-25 07:52:20,2525
2022-01-25 08:52:20,2105
2022-01-25 09:52:20,2425
2022-01-25 10:52:20,2535
2022-01-25 11:52:20,2604
2022-01-25 12:52:20,2182
2022-01-25 13:52:20,2026
2022-01-25 14:52:20,2846
2022-01-25 15:52:20,3755
2022-01-25 16:52:20,3649
2022-01-25 17:52:20,3292
2022-01-25 18:52:20,3566
2022-01-25 19:52:20,2818
2022-01-25 20:52:20,2075
2022-01-25 21:52:20,1072
2022-01-25 22:52:20,1091
2022-01-25 23:52:20,833
2022-01-26 00:52:20,944
2022-01-26 01:52:20,860
2022-01-26 02:52:20,902
2022-01-26 03:52:20,903
2022-01-26 04:52:20,1211
2022-01-26 05:52:20,1403
2022-01-26 06:52:20,1633
2022-01-26 07:52:20,1703
2022-01-26 08:52:20,1438
2022-01-26 09:52:20,1874
2022-01-26 10:52:20,1658
2022-01-26 11:52:20,1488
2022-01-26 12:52:20,1543
2022-01-26 13:52:20,1591
2022-01-26 14:52:20,2109
2022-01-26 15:52:20,2489
2022-01-26 16:52:20,2465
2022-01-26 17:52:20,2050
2022-01-26 18:52:20,2034
2022-01-26 19:52:20,1664
2022-01-26 20:52:20,1565
2022-01-26 21:52:20,1096
2022-01-26 22:52:20,1125
2022-01-26 23:52:20,926
2022-01-27 00:52:20,903
2022-01-27 01:52:20,908
2022-01-27 02:52:20,810
2022-01-27 03:52:20,882
2022-01-27 04:52:20,1235
2022-01-27 05:52:20,1371
2022-01-27 06:52:20,1628
2022-01-27 07:52:20,1602
2022-01-27 08:52:20,1402
2022-01-27 09:52:20,1415
2022-01-27 10:52:20,1789
2022-01-27 11:52:20,1353
2022-01-27 12:52:20,1418
2022-01-27 13:52:20,1409
2022-01-27 14:52:20,1870
2022-01-27 15:52:20,2523
2022-01-27 16:52:20,2488
2022-01-27 17:52:20,2312
2022-01-27 18:52:20,2148
2022-01-27 19:52:20,1909
2022-01-27 20:52:20,1805
2022-01-27 21:52:20,1118
2022-01-27 22:52:20,1140
2022-01-27 23:52:20,1088
2022-01-28 00:52:20,938
2022-01-28 01:52:20,918
2022-01-28 02:52:20,929
2022-01-28 03:52:20,868
2022-01-28 04:52:20,957
2022-01-28 05:52:20,1069
2022-01-28 06:52:20,1488
2022-01-28 07:52:20,1248
2022-01-28 08:52:20,1564
2022-01-28 09:52:20,1611
2022-01-28 10:52:20,1402
2022-01-28 11:52:20,1569
2022-01-28 12:52:20,1306
2022-01-28 13:52:20,1655
2022-01-28 14:52:20,1930
2022-01-28 15:52:20,2502
2022-01-28 16:52:20,2242
2022-01-28 17:52:20,2160
2022-01-28 18:52:20,2080
2022-01-28 19:52:20,2088
2022-01-28 20:52:20,1319
2022-01-28 21:52:20,1286
2022-01-28 22:52:20,983
2022-01-28 23:52:20,997
2022-01-29 00:52:20,824
2022-01-29 01:52:20,790
2022-01-29 02:52:20,857
2022-01-29 03:52:20,750
2022-01-29 04:52:20,1056
2022-01-29 05:52:20,1141
2022-01-29 06:52:20,1202
2022-01-29 07:52:20,1318
2022-01-29 08:52:20,1748
2022-01-29 09:52:20,1834
2022-01-29 10:52:20,1402
2022-01-29 11:52:20,1401
2022-01-29 12:52:20,1368
2022-01-29 13:52:20,1378
2022-01-29 14:52:20,1814
2022-01-29 15:52:20,2551
2022-01-29 16:52:20,2287
2022-01-29 17:52:20,2433
2022-01-29 18:52:20,2127
2022-01-29 19:52:20,1851
2022-01-29 20:52:20,1497
2022-01-29 21:52:20,1107
2022-01-29 22:52:20,955
2022-01-29 23:52:20,834
2022-01-30 00:52:20,1016
2022-01-30 01:52:20,1000
2022-01-30 02:52:20,824
2022-01-30 03:52:20,883
2022-01-30 04:52:20,1113
2022-01-30 05:52:20,1429
2022-01-30 06:52:20,1378
2022-01-30 07:52:20,1367
2022-01-30 08:52:20,1717
2022-01-30 09:52:20,1708
2022-01-30 10:52:20,1640
2022-01-30 11:52:20,1729
2022-01-30 12:52:20,1426
2022-01-30 13:52:20,1374
2022-01-30 14:52:20,1888
2022-01-30 15:52:20,2584
2022-01-30 16:52:20,2280
2022-01-30 17:52:20,2163
2022-01-30 18:52:20,2190
2022-01-30 19:52:20,1627
2022-01-30 20:52:20,1623
2022-01-30 21:52:20,1626
2022-01-30 22:52:20,1319
2022-01-30 23:52:20,1268
2022-01-31 00:52:20,1028
2022-01-31 01:52:20,1000
2022-01-31 02:52:20,1211
2022-01-31 03:52:20,1229
2022-01-31 04:52:20,1519
2022-01-31 05:52:20,1365
2022-01-31 06:52:20,1629
2022-01-31 07:52:20,2040
2022-01-31 08:52:20,1822
2022-01-31 09:52:20,2083
2022-01-31 10:52:20,2038
2022-01-31 11:52:20,2249
2022-01-31 12:52:20,1642
2022-01-31 13:52:20,1802
2022-01-31 14:52:20,2443
2022-01-31 15:52:20,3234
2022-01-31 16:52:20,3127
2022-01-31 17:52:20,3197
2022-01-31 18:52:20,2393
2022-01-31 19:52:20,2648
2022-01-31 20:52:20,2087
2022-01-31 21:52:20,1747
2022-01-31 22:52:20,1481
2022-01-31 23:52:20,1415
2022-02-01 00:52:20,1417
2022-02-01 01:52:20,1128
2022-02-01 02:52:20,1310
2022-02-01 03:52:20,1244
2022-02-01 04:52:20,1695
2022-02-01 05:52:20,1917
2022-02-01 06:52:20,2215
2022-02-01 07:52:20,2149
2022-02-01 08:52:20,2457
2022-02-01 09:52:20,2144
2022-02-01 10:52:20,2422
2022-02-01 11:52:20,2376
2022-02-01 12:52:20,2354
2022-02-01 13:52:20,2280
2022-02-01 14:52:20,2938
2022-02-01 15:52:20,3581
2022-02-01 16:52:20,3474
2022-02-01 17:52:20,3185
2022-02-01 18:52:20,3176
2022-02-01 19:52:20,2407
2022-02-01 20:52:20,1904
2022-02-01 21:52:20,1205
2022-02-01 22:52:20,937
2022-02-01 23:52:20,945
2022-02-02 00:52:20,885
2022-02-02 01:52:20,924
2022-02-02 02:52:20,803
2022-02-02 03:52:20,802
2022-02-02 04:52:20,1031
2022-02-02 05:52:20,1458
2022-02-02 06:52:20,1184
2022-02-02 07:52:20,1375
2022-02-02 08:52:20,1588
2022-02-02 09:52:20,1871
2022-02-02 10:52:20,1418
2022-02-02 11:52:20,1699
2022-02-02 12:52:20,1457
2022-02-02 13:52:20,1437
2022-02-02 14:52:20,2000
2022-02-02 15:52:20,2589
2022-02-02 16:52:20,2332
2022-02-02 17:52:20,2494
2022-02-02 18:52:20,1995
2022-02-02 19:52:20,1848
2022-02-02 20:52:20,1314
2022-02-02 21:52:20,1178
2022-02-02 22:52:20,1032
2022-02-02 23:52:20,885
2022-02-03 00:52:20,870
2022-02-03 01:52:20,911
2022-02-03 02:52:20,790
2022-02-03 03:52:20,972
2022-02-03 04:52:20,1099
2022-02-03 05:52:20,1415
2022-02-03 06:52:20,1063
2022-02-03 07:52:20,1362
2022-02-03 08:52:20,1768
2022-02-03 09:52:20,1863
2022-02-03 10:52:20,1596
2022-02-03 11:52:20,1503
2022-02-03 12:52:20,1545
2022-02-03 13:52:20,1559
2022-02-03 14:52:20,2056
2022-02-03 15:52:20,2574
2022-02-03 16:52:20,2251
2022-02-03 17:52:20,2222
2022-02-03 18:52:20,2189
2022-02-03 19:52:20,1814
2022-02-03 20:52:20,1608
2022-02-03 21:52:20,1188
2022-02-03 22:52:20,1042
2022-02-03 23:52:20,877
2022-02-04 00:52:20,874
2022-02-04 01:52:20,888
2022-02-04 02:52:20,714
2022-02-04 03:52:20,903
2022-02-04 04:52:20,1093
2022-02-04 05:52:20,1089
2022-02-04 06:52:20,1463
2022-02-04 07:52:20,1763
2022-02-04 08:52:20,1566
2022-02-04 09:52:20,1595
2022-02-04 10:52:20,1567
2022-02-04 11:52:20,1632
2022-02-04 12:52:20,1279
2022-02-04 13:52:20,1755
2022-02-04 14:52:20,1980
2022-02-04 15:52:20,2573
2022-02-04 16:52:20,2288
2022-02-04 17:52:20,1953
2022-02-04 18:52:20,2201
2022-02-04 19:52:20,2147
2022-02-04 20:52:20,1732
2022-02-04 21:52:20,1251
2022-02-04 22:52:20,1096
2022-02-04 23:52:20,877
2022-02-05 00:52:20,908
2022-02-05 01:52:20,839
2022-02-05 02:52:20,836
2022-02-05 03:52:20,870
2022-02-05 04:52:20,1256
2022-02-05 05:52:20,1108
2022-02-05 06:52:20,1067
2022-02-05 07:52:20,1312
2022-02-05 08:52:20,1393
2022-02-05 09:52:20,1491
2022-02-05 10:52:20,1673
2022-02-05 11:52:20,1480
2022-02-05 12:52:20,1503
2022-02-05 13:52:20,1463
2022-02-05 14:52:20,1916
2022-02-05 15:52:20,2533
2022-02-05 16:52:20,2378
2022-02-05 17:52:20,2212
2022-02-05 18:52:20,2243
2022-02-05 19:52:20,1878
2022-02-05 20:52:20,1427
2022-02-05 21:52:20,1226
2022-02-05 22:52:20,1067
2022-02-05 23:52:20,1023
2022-02-06 00:52:20,994
2022-02-06 01:52:20,892
2022-02-06 02:52:20,801
2022-02-06 03:52:20,874
2022-02-06 04:52:20,934
2022-02-06 05:52:20,1028
2022-02-06 06:52:20,1124
2022-02-06 07:52:20,1814
2022-02-06 08:52:20,1422
2022-02-06 09:52:20,1802
2022-02-06 10:52:20,1519
2022-02-06 11:52:20,1543
2022-02-06 12:52:20,1420
2022-02-06 13:52:20,1483
2022-02-06 14:52:20,2061
2022-02-06 15:52:20,2583
2022-02-06 16:52:20,2261
2022-02-06 17:52:20,2094
2022-02-06 18:52:20,2223
2022-02-06 19:52:20,1830
2022-02-06 20:52:20,1286
2022-02-06 21:52:20,1551
2022-02-06 22:52:20,1433
2022-02-06 23:52:20,1216
2022-02-07 00:52:20,1212
2022-02-07 01:52:20,975
2022-02-07 02:52:20,1025
2022-02-07 03:52:20,1271
2022-02-07 04:52:20,1628
2022-02-07 05:52:20,1820
2022-02-07 06:52:20,1852
2022-02-07 07:52:20,2469
2022-02-07 08:52:20,2291
2022-02-07 09:52:20,1986
2022-02-07 10:52:20,2235
2022-02-07 11:52:20,2331
2022-02-07 12:52:20,2045
2022-02-07 13:52:20,2092
2022-02-07 14:52:20,2515
2022-02-07 15:52:20,3460
2022-02-07 16:52:20,3405
2022-02-07 17:52:20,3293
2022-02-07 18:52:20,3094
2022-02-07 19:52:20,2180
2022-02-07 20:52:20,1886
