Datetime,Load
2022-04-07 10:40:46,1366
2022-04-07 11:40:46,1281
2022-04-07 12:40:46,1220
2022-04-07 13:40:46,1251
2022-04-07 14:40:46,954
2022-04-07 15:40:46,1124
2022-04-07 16:40:46,1048
2022-04-07 17:40:46,1413
2022-04-07 18:40:46,1771
2022-04-07 19:40:46,2116
2022-04-07 20:40:46,1603
2022-04-07 21:40:46,1876
2022-04-07 22:40:46,1918
2022-04-07 23:40:46,1947
2022-04-08 00:40:46,1975
2022-04-08 01:40:46,1941
2022-04-08 02:40:46,2032
2022-04-08 03:40:46,2274
2022-04-08 04:40:46,3103
2022-04-08 05:40:46,2789
2022-04-08 06:40:46,3082
2022-04-08 07:40:46,2401
2022-04-08 08:40:46,2052
2022-04-08 09:40:46,2197
