Time (Hour),Load (W)
2022-01-24 21:52:18,897
2022-01-24 22:52:18,826
2022-01-24 23:52:18,750
2022-01-25 00:52:18,828
2022-01-25 01:52:18,730
2022-01-25 02:52:18,713
2022-01-25 03:52:18,769
2022-01-25 04:52:18,1041
2022-01-25 05:52:18,1247
2022-01-25 06:52:18,1336
2022-01-25 07:52:18,1300
2022-01-25 08:52:18,1296
2022-01-25 09:52:18,1268
2022-01-25 10:52:18,1482
2022-01-25 11:52:18,1246
2022-01-25 12:52:18,1212
2022-01-25 13:52:18,1377
2022-01-25 14:52:18,1639
2022-01-25 15:52:18,2118
2022-01-25 16:52:18,2151
2022-01-25 17:52:18,1967
2022-01-25 18:52:18,1805
2022-01-25 19:52:18,1568
2022-01-25 20:52:18,1291
2022-01-25 21:52:18,862
2022-01-25 22:52:18,732
2022-01-25 23:52:18,615
2022-01-26 00:52:18,571
2022-01-26 01:52:18,620
2022-01-26 02:52:18,499
2022-01-26 03:52:18,541
2022-01-26 04:52:18,626
2022-01-26 05:52:18,913
2022-01-26 06:52:18,1000
2022-01-26 07:52:18,1012
2022-01-26 08:52:18,1099
2022-01-26 09:52:18,957
2022-01-26 10:52:18,1155
2022-01-26 11:52:18,992
2022-01-26 12:52:18,974
2022-01-26 13:52:18,881
2022-01-26 14:52:18,1145
2022-01-26 15:52:18,1625
2022-01-26 16:52:18,1573
2022-01-26 17:52:18,1271
2022-01-26 18:52:18,1292
2022-01-26 19:52:18,1317
2022-01-26 20:52:18,1071
2022-01-26 21:52:18,761
2022-01-26 22:52:18,596
2022-01-26 23:52:18,597
2022-01-27 00:52:18,622
2022-01-27 01:52:18,487
2022-01-27 02:52:18,474
2022-01-27 03:52:18,585
2022-01-27 04:52:18,710
2022-01-27 05:52:18,851
2022-01-27 06:52:18,820
2022-01-27 07:52:18,1144
2022-01-27 08:52:18,1046
2022-01-27 09:52:18,1170
2022-01-27 10:52:18,900
2022-01-27 11:52:18,1022
2022-01-27 12:52:18,957
2022-01-27 13:52:18,1140
2022-01-27 14:52:18,1275
2022-01-27 15:52:18,1678
2022-01-27 16:52:18,1533
2022-01-27 17:52:18,1318
2022-01-27 18:52:18,1513
2022-01-27 19:52:18,1271
2022-01-27 20:52:18,970
2022-01-27 21:52:18,675
2022-01-27 22:52:18,683
2022-01-27 23:52:18,516
2022-01-28 00:52:18,473
2022-01-28 01:52:18,512
2022-01-28 02:52:18,592
2022-01-28 03:52:18,564
2022-01-28 04:52:18,739
2022-01-28 05:52:18,720
2022-01-28 06:52:18,930
2022-01-28 07:52:18,1138
2022-01-28 08:52:18,975
2022-01-28 09:52:18,1142
2022-01-28 10:52:18,1018
2022-01-28 11:52:18,1069
2022-01-28 12:52:18,921
2022-01-28 13:52:18,1046
2022-01-28 14:52:18,1372
2022-01-28 15:52:18,1637
2022-01-28 16:52:18,1625
2022-01-28 17:52:18,1512
2022-01-28 18:52:18,1215
2022-01-28 19:52:18,1282
2022-01-28 20:52:18,1158
2022-01-28 21:52:18,668
2022-01-28 22:52:18,656
2022-01-28 23:52:18,544
2022-01-29 00:52:18,525
2022-01-29 01:52:18,552
2022-01-29 02:52:18,510
2022-01-29 03:52:18,559
2022-01-29 04:52:18,750
2022-01-29 05:52:18,690
2022-01-29 06:52:18,1027
2022-01-29 07:52:18,806
2022-01-29 08:52:18,925
2022-01-29 09:52:18,1173
2022-01-29 10:52:18,1161
2022-01-29 11:52:18,985
2022-01-29 12:52:18,987
2022-01-29 13:52:18,862
2022-01-29 14:52:18,1186
2022-01-29 15:52:18,1651
2022-01-29 16:52:18,1553
2022-01-29 17:52:18,1372
2022-01-29 18:52:18,1309
2022-01-29 19:52:18,1293
2022-01-29 20:52:18,1100
2022-01-29 21:52:18,773
2022-01-29 22:52:18,651
2022-01-29 23:52:18,572
2022-01-30 00:52:18,527
2022-01-30 01:52:18,539
2022-01-30 02:52:18,553
2022-01-30 03:52:18,534
2022-01-30 04:52:18,769
2022-01-30 05:52:18,932
2022-01-30 06:52:18,1060
2022-01-30 07:52:18,1164
2022-01-30 08:52:18,914
2022-01-30 09:52:18,971
2022-01-30 10:52:18,928
2022-01-30 11:52:18,999
2022-01-30 12:52:18,892
2022-01-30 13:52:18,1075
2022-01-30 14:52:18,1361
2022-01-30 15:52:18,1623
2022-01-30 16:52:18,1541
2022-01-30 17:52:18,1292
2022-01-30 18:52:18,1193
2022-01-30 19:52:18,1329
2022-01-30 20:52:18,1008
2022-01-30 21:52:18,996
2022-01-30 22:52:18,952
2022-01-30 23:52:18,872
2022-01-31 00:52:18,837
2022-01-31 01:52:18,692
2022-01-31 02:52:18,653
2022-01-31 03:52:18,792
2022-01-31 04:52:18,916
2022-01-31 05:52:18,1195
2022-01-31 06:52:18,1187
2022-01-31 07:52:18,1248
2022-01-31 08:52:18,1503
2022-01-31 09:52:18,1553
2022-01-31 10:52:18,1357
2022-01-31 11:52:18,1436
2022-01-31 12:52:18,1363
2022-01-31 13:52:18,1303
2022-01-31 14:52:18,1721
2022-01-31 15:52:18,2311
2022-01-31 16:52:18,2126
2022-01-31 17:52:18,2240
2022-01-31 18:52:18,1901
2022-01-31 19:52:18,1829
2022-01-31 20:52:18,1675
2022-01-31 21:52:18,1130
2022-01-31 22:52:18,1005
2022-01-31 23:52:18,835
2022-02-01 00:52:18,753
2022-02-01 01:52:18,813
2022-02-01 02:52:18,912
2022-02-01 03:52:18,730
2022-02-01 04:52:18,1066
2022-02-01 05:52:18,1024
2022-02-01 06:52:18,1422
2022-02-01 07:52:18,1547
2022-02-01 08:52:18,1305
2022-02-01 09:52:18,1719
2022-02-01 10:52:18,1512
2022-02-01 11:52:18,1620
2022-02-01 12:52:18,1480
2022-02-01 13:52:18,1474
2022-02-01 14:52:18,1879
2022-02-01 15:52:18,2368
2022-02-01 16:52:18,2210
2022-02-01 17:52:18,2244
2022-02-01 18:52:18,2137
2022-02-01 19:52:18,1597
2022-02-01 20:52:18,1412
2022-02-01 21:52:18,675
2022-02-01 22:52:18,663
2022-02-01 23:52:18,637
2022-02-02 00:52:18,556
2022-02-02 01:52:18,634
2022-02-02 02:52:18,552
2022-02-02 03:52:18,534
2022-02-02 04:52:18,657
2022-02-02 05:52:18,871
2022-02-02 06:52:18,1001
2022-02-02 07:52:18,1046
2022-02-02 08:52:18,980
2022-02-02 09:52:18,1186
2022-02-02 10:52:18,1130
2022-02-02 11:52:18,892
2022-02-02 12:52:18,1050
2022-02-02 13:52:18,925
2022-02-02 14:52:18,1321
2022-02-02 15:52:18,1589
2022-02-02 16:52:18,1562
2022-02-02 17:52:18,1474
2022-02-02 18:52:18,1370
2022-02-02 19:52:18,1071
2022-02-02 20:52:18,1032
2022-02-02 21:52:18,683
2022-02-02 22:52:18,657
2022-02-02 23:52:18,583
2022-02-03 00:52:18,476
2022-02-03 01:52:18,640
2022-02-03 02:52:18,613
2022-02-03 03:52:18,519
2022-02-03 04:52:18,807
2022-02-03 05:52:18,780
2022-02-03 06:52:18,793
2022-02-03 07:52:18,1059
2022-02-03 08:52:18,1087
2022-02-03 09:52:18,1027
2022-02-03 10:52:18,1061
2022-02-03 11:52:18,948
2022-02-03 12:52:18,976
2022-02-03 13:52:18,1002
2022-02-03 14:52:18,1374
2022-02-03 15:52:18,1587
2022-02-03 16:52:18,1628
2022-02-03 17:52:18,1546
2022-02-03 18:52:18,1421
2022-02-03 19:52:18,1248
2022-02-03 20:52:18,1166
2022-02-03 21:52:18,734
2022-02-03 22:52:18,596
2022-02-03 23:52:18,549
2022-02-04 00:52:18,472
2022-02-04 01:52:18,549
2022-02-04 02:52:18,543
2022-02-04 03:52:18,629
2022-02-04 04:52:18,668
2022-02-04 05:52:18,822
2022-02-04 06:52:18,883
2022-02-04 07:52:18,1177
2022-02-04 08:52:18,1073
2022-02-04 09:52:18,1197
2022-02-04 10:52:18,1127
2022-02-04 11:52:18,982
2022-02-04 12:52:18,1012
2022-02-04 13:52:18,1099
2022-02-04 14:52:18,1352
2022-02-04 15:52:18,1596
2022-02-04 16:52:18,1607
2022-02-04 17:52:18,1619
2022-02-04 18:52:18,1373
2022-02-04 19:52:18,1400
2022-02-04 20:52:18,1009
2022-02-04 21:52:18,730
2022-02-04 22:52:18,598
2022-02-04 23:52:18,601
2022-02-05 00:52:18,621
2022-02-05 01:52:18,644
2022-02-05 02:52:18,535
2022-02-05 03:52:18,497
2022-02-05 04:52:18,661
2022-02-05 05:52:18,731
2022-02-05 06:52:18,725
2022-02-05 07:52:18,1000
2022-02-05 08:52:18,1000
