Time (Hour),Load (W)
0,1242
1,1321
2,1105
3,1177
4,1026
5,923
6,1108
7,1482
8,1536
9,1264
10,1552
11,1762
12,2207
13,2004
14,1797
15,1615
16,1897
17,2300
18,3007
19,3063
20,2468
21,2274
22,2596
23,1964
24,1006
25,857
26,773
27,872
28,644
29,794
30,838
31,818
32,1136
33,1284
34,1028
35,1364
36,1526
37,1413
38,1310
39,1401
40,1170
41,1633
42,2194
43,2221
44,1949
45,1828
46,1395
47,1538
48,969
49,854
50,859
51,863
52,800
53,816
54,726
55,820
56,1087
57,1413
58,1383
59,1403
60,1251
61,1371
62,1251
63,1207
64,1374
65,1534
66,2156
67,2178
68,1900
69,1928
70,1572
71,1347
72,1081
73,844
74,928
75,652
76,637
77,595
78,669
79,938
80,959
81,1326
82,1114
83,1361
84,1573
85,1273
86,1418
87,1192
88,1374
89,1770
90,2217
91,1896
92,1816
93,1975
94,1775
95,1407
96,1047
97,844
98,830
99,677
100,617
101,590
102,755
103,873
104,1124
105,1281
106,1302
107,1425
108,1568
109,1248
110,1287
111,1364
112,1372
113,1787
114,2227
115,2123
116,2042
117,1968
118,1435
119,1184
120,1022
121,925
122,917
123,863
124,826
125,802
126,843
127,1039
128,1158
129,1453
130,1286
131,1322
132,1519
133,1476
134,1518
135,1483
136,1381
137,1730
138,2205
139,2097
140,1900
141,1540
142,1821
143,1145
144,1517
145,1324
146,1439
147,1186
148,991
149,1004
150,1143
151,1507
152,1429
153,2096
154,1774
155,2387
156,1972
157,2025
158,2044
159,2007
160,1881
161,2632
162,3422
163,3320
164,2940
165,2603
166,2844
167,2275
168,1384
169,1174
170,1129
171,1125
172,1012
173,815
174,993
175,1503
176,1331
177,1289
178,1662
179,2171
180,2194
181,1671
182,1955
183,1976
184,2037
185,2177
186,3049
187,3056
188,3009
189,2596
190,2215
191,1952
192,937
193,822
194,876
195,671
196,843
197,679
198,698
199,1061
200,1222
201,1476
202,1227
203,1202
204,1280
205,1192
206,1408
207,1460
208,1318
209,1816
210,2142
211,1986
212,1985
213,1652
214,1814
215,1297
216,1125
217,939
218,794
219,898
220,658
221,795
222,820
223,1061
224,914
225,945
226,1429
227,1173
228,1596
229,1231
230,1219
231,1368
232,1279
233,1592
234,2244
235,2221
236,1719
237,1556
238,1422
239,1113
240,989
241,947
242,889
243,712
244,827
245,767
246,678
247,800
248,1166
249,1383
250,1109
251,1504
252,1565
253,1360
254,1429
255,1096
256,1330
257,1815
258,2221
259,2194
260,1852
261,1730
262,1877
263,1137
264,1123
265,821
266,772
267,733
268,707
269,600
270,777
271,1024
272,1012
273,1182
274,1146
275,1288
276,1597
277,1583
278,1430
279,1172
280,1515
281,1611
282,2209
283,2130
284,2018
285,1833
286,1612
287,1467
288,1100
289,785
290,892
291,802
292,842
293,662
294,801
295,925
296,917
297,1473
298,1153
299,1207
300,1478
301,1224
302,1531
303,1376
304,1197
305,1543
306,2202
307,1878
308,1754
309,1712
310,1768
311,1100
312,1367
313,1056
314,877
315,859
316,1014
317,983
318,937
319,1296
320,1141
321,1570
322,1748
323,1932
324,1672
325,1910
326,1510
327,1638
328,1810
329,2019
330,2669
331,2412
332,2637
333,2301
334,1775
335,2027
