Datetime,Load
2022-04-07 10:40:43,840
2022-04-07 11:40:43,637
2022-04-07 12:40:43,570
2022-04-07 13:40:43,504
2022-04-07 14:40:43,483
2022-04-07 15:40:43,525
2022-04-07 16:40:43,596
2022-04-07 17:40:43,711
2022-04-07 18:40:43,739
2022-04-07 19:40:43,894
2022-04-07 20:40:43,1086
2022-04-07 21:40:43,1175
2022-04-07 22:40:43,1090
2022-04-07 23:40:43,1133
2022-04-08 00:40:43,1058
2022-04-08 01:40:43,910
2022-04-08 02:40:43,1082
2022-04-08 03:40:43,1390
2022-04-08 04:40:43,1679
2022-04-08 05:40:43,1587
2022-04-08 06:40:43,1433
2022-04-08 07:40:43,1552
2022-04-08 08:40:43,1246
2022-04-08 09:40:43,1129
