Time (Hour),Load (W)
0,714
1,601
2,593
3,609
4,509
5,508
6,607
7,742
8,819
9,757
10,883
11,916
12,1037
13,1112
14,1144
15,891
16,899
17,1330
18,1651
19,1594
20,1507
21,1231
22,1420
23,832
24,671
25,623
26,484
27,519
28,423
29,489
30,432
31,654
32,612
33,749
34,750
35,765
36,781
37,773
38,882
39,901
40,942
41,996
42,1343
43,1369
44,1356
45,1016
46,1070
47,947
48,718
49,496
50,497
51,555
52,390
53,491
54,414
55,563
56,743
57,915
58,702
59,915
60,912
61,899
62,875
63,737
64,867
65,1032
66,1375
67,1384
68,1302
69,1200
70,1030
71,938
72,634
73,574
74,517
75,459
76,421
77,363
78,458
79,538
80,667
81,754
82,681
83,786
84,891
85,932
86,942
87,717
88,891
89,1028
90,1367
91,1302
92,1211
93,1259
94,867
95,771
96,606
97,490
98,433
99,459
100,418
101,469
102,450
103,546
104,681
105,641
106,791
107,955
108,845
109,797
110,790
111,869
112,798
113,1021
114,1386
115,1280
116,1193
117,1137
118,862
119,703
120,630
121,622
122,512
123,431
124,432
125,425
126,510
127,560
128,567
129,673
130,751
131,948
132,805
133,779
134,778
135,862
136,837
137,1090
138,1369
139,1308
140,1103
141,1033
142,1147
143,930
144,807
145,729
146,688
147,574
148,521
149,511
150,617
151,692
152,752
153,862
154,1022
155,1042
156,1177
157,1122
158,981
159,889
160,904
161,1333
162,1677
163,1455
164,1286
165,1318
166,1319
167,1151
168,855
169,846
170,820
171,573
172,750
173,577
174,663
175,862
176,959
177,1220
178,1183
179,1082
180,1170
181,1233
182,1164
183,1198
184,1095
185,1553
186,1956
187,1976
188,1939
189,1526
190,1394
191,1414
192,536
193,575
194,479
195,393
196,477
197,413
198,508
199,562
200,722
201,645
202,905
203,854
204,843
205,975
206,912
207,727
208,724
209,1084
210,1370
211,1356
212,1130
213,1057
214,1160
215,735
216,683
217,498
218,524
219,429
220,526
221,402
222,446
223,497
224,667
225,711
226,657
227,803
228,996
229,865
230,939
231,909
232,766
233,981
234,1334
235,1356
236,1285
237,1088
238,931
239,974
240,697
241,620
242,562
243,392
244,538
245,488
246,459
247,669
248,561
249,701
250,982
251,873
252,834
253,881
254,720
255,910
256,822
257,1072
258,1319
259,1271
260,1071
261,1120
262,877
263,765
264,567
265,555
266,520
267,528
268,393
269,503
270,479
271,617
272,717
273,753
274,979
275,848
276,798
277,798
278,922
279,681
280,771
281,1112
282,1366
283,1256
284,1144
285,1166
286,1119
287,793
288,627
289,556
290,445
291,391
292,479
293,404
294,414
295,624
296,787
297,718
298,691
299,967
300,763
301,814
302,934
303,926
304,757
305,1124
306,1326
307,1363
308,1129
309,1188
310,1149
311,957
312,708
313,733
314,597
315,615
316,620
317,636
318,571
319,743
320,772
321,880
322,819
323,888
324,1188
325,981
326,951
327,1028
328,1101
329,1275
330,1622
331,1595
332,1509
333,1522
334,1152
335,1220
