Time (Hour),Load (W)
0,1793
1,1665
2,1659
3,1558
4,1326
5,1420
6,1401
7,1561
8,2288
9,1924
10,2215
11,2589
12,2618
13,2264
14,2894
15,2509
16,2188
17,3426
18,4032
19,4196
20,4021
21,3490
22,3311
23,2970
24,1464
25,1165
26,907
27,928
28,914
29,1046
30,938
31,1330
32,1599
33,1723
34,1459
35,1721
36,1833
37,1887
38,1718
39,1605
40,1748
41,2241
42,2762
43,2480
44,2376
45,2003
46,2303
47,2053
48,1198
49,1250
50,1128
51,887
52,938
53,953
54,951
55,1380
56,1144
57,1839
58,1746
59,1715
60,1732
61,1951
62,1932
63,1733
64,1472
65,2295
66,2865
67,2688
68,2720
69,2454
70,2394
71,1836
72,1284
73,1059
74,988
75,893
76,1035
77,752
78,1003
79,1244
80,1351
81,1322
82,1320
83,1480
84,1945
85,1526
86,1876
87,1770
88,1600
89,2306
90,2781
91,2691
92,2729
93,2357
94,2398
95,1691
96,1344
97,1042
98,1009
99,1090
100,1091
101,936
102,935
103,1316
104,1327
105,1241
106,1609
107,1826
108,1988
109,1991
110,1516
111,1821
112,1767
113,2084
114,2717
115,2727
116,2643
117,2376
118,2046
119,1904
120,1274
121,1081
122,1014
123,1117
124,827
125,909
126,972
127,1359
128,1376
129,1249
130,1965
131,2004
132,1917
133,1767
134,1746
135,1466
136,1469
137,2097
138,2752
139,2735
140,2678
141,1998
142,2164
143,1848
144,1700
145,1670
146,1371
147,1544
148,1175
149,1272
150,1457
151,1758
152,2028
153,2276
154,2097
155,2783
156,2720
157,2295
158,2167
159,2523
160,2475
161,2877
162,3821
163,3769
164,3182
165,3459
166,2581
167,2386
168,1658
169,1634
170,1377
171,1399
172,974
173,1126
174,1229
175,1541
176,1476
177,2021
178,2100
179,1913
180,2080
181,1959
182,1893
183,2211
184,2345
185,2690
186,3561
187,3071
188,3378
189,2666
190,2871
191,2415
192,1320
193,1124
194,1191
195,897
196,814
197,824
198,1044
199,1100
200,1477
201,1569
202,1531
203,1563
204,1725
205,1579
206,1741
207,1550
208,1888
209,2216
210,2865
211,2627
212,2509
213,2400
214,1789
215,2023
216,1360
217,1163
218,968
219,1089
220,881
221,976
222,947
223,1041
224,1415
225,1672
226,1977
227,2002
228,1753
229,1588
230,1753
231,1408
232,1483
233,2312
234,2811
235,2769
236,2468
237,1973
238,1955
239,1596
240,1240
241,1098
242,1208
243,1096
244,785
245,1048
246,823
247,1318
248,1471
249,1768
250,1913
251,1855
252,1708
253,2028
254,1794
255,1578
256,1788
257,2350
258,2751
259,2623
260,2534
261,2467
262,1846
263,1488
264,1199
265,1142
266,961
267,1014
268,962
269,768
270,855
271,1349
272,1328
273,1510
274,1660
275,1890
276,1548
277,1949
278,1923
279,1595
280,1711
281,2258
282,2754
283,2713
284,2208
285,2546
286,2081
287,1635
288,1134
289,1244
290,1102
291,1133
292,910
293,900
294,874
295,1333
296,1618
297,1308
298,1587
299,1868
300,1741
301,1665
302,1552
303,1497
304,1819
305,1964
306,2709
307,2409
308,2523
309,2481
310,2405
311,1902
312,1971
313,1780
314,1265
315,1429
316,1129
317,1280
318,1270
319,1593
320,1963
321,1669
322,2183
323,2523
324,2904
325,2826
326,2710
327,2417
328,2232
329,3018
330,3996
331,3685
332,3729
333,3438
334,3223
335,2257
