Datetime,Load
2022-04-07 10:48:31,714
2022-04-07 11:48:31,688
2022-04-07 12:48:31,643
2022-04-07 13:48:31,534
2022-04-07 14:48:31,466
2022-04-07 15:48:31,508
2022-04-07 16:48:31,587
2022-04-07 17:48:31,722
2022-04-07 18:48:31,696
2022-04-07 19:48:31,735
2022-04-07 20:48:31,1092
2022-04-07 21:48:31,1016
2022-04-07 22:48:31,920
2022-04-07 23:48:31,1007
2022-04-08 00:48:31,1057
2022-04-08 01:48:31,976
2022-04-08 02:48:31,927
2022-04-08 03:48:31,1112
2022-04-08 04:48:31,1506
2022-04-08 05:48:31,1415
2022-04-08 06:48:31,1313
2022-04-08 07:48:31,1361
2022-04-08 08:48:31,1250
2022-04-08 09:48:31,882
2022-04-08 10:48:31,461
2022-04-08 11:48:31,478
2022-04-08 12:48:31,391
2022-04-08 13:48:31,314
2022-04-08 14:48:31,375
2022-04-08 15:48:31,383
2022-04-08 16:48:31,397
2022-04-08 17:48:31,451
2022-04-08 18:48:31,519
2022-04-08 19:48:31,489
2022-04-08 20:48:31,730
2022-04-08 21:48:31,643
2022-04-08 22:48:31,672
2022-04-08 23:48:31,767
2022-04-09 00:48:31,583
2022-04-09 01:48:31,620
2022-04-09 02:48:31,568
2022-04-09 03:48:31,827
2022-04-09 04:48:31,1056
2022-04-09 05:48:31,1034
2022-04-09 06:48:31,890
2022-04-09 07:48:31,788
2022-04-09 08:48:31,750
2022-04-09 09:48:31,678
2022-04-09 10:48:31,521
2022-04-09 11:48:31,469
2022-04-09 12:48:31,428
2022-04-09 13:48:31,390
2022-04-09 14:48:31,338
2022-04-09 15:48:31,367
2022-04-09 16:48:31,387
2022-04-09 17:48:31,539
2022-04-09 18:48:31,472
2022-04-09 19:48:31,624
2022-04-09 20:48:31,625
2022-04-09 21:48:31,778
2022-04-09 22:48:31,790
2022-04-09 23:48:31,603
2022-04-10 00:48:31,655
2022-04-10 01:48:31,549
2022-04-10 02:48:31,687
2022-04-10 03:48:31,762
2022-04-10 04:48:31,1052
2022-04-10 05:48:31,967
2022-04-10 06:48:31,1073
2022-04-10 07:48:31,912
2022-04-10 08:48:31,724
2022-04-10 09:48:31,712
2022-04-10 10:48:31,433
2022-04-10 11:48:31,405
2022-04-10 12:48:31,379
2022-04-10 13:48:31,402
2022-04-10 14:48:31,372
2022-04-10 15:48:31,401
2022-04-10 16:48:31,400
2022-04-10 17:48:31,468
2022-04-10 18:48:31,532
2022-04-10 19:48:31,543
2022-04-10 20:48:31,707
2022-04-10 21:48:31,573
2022-04-10 22:48:31,646
2022-04-10 23:48:31,591
2022-04-11 00:48:31,572
2022-04-11 01:48:31,579
2022-04-11 02:48:31,735
2022-04-11 03:48:31,850
2022-04-11 04:48:31,1048
2022-04-11 05:48:31,1047
2022-04-11 06:48:31,840
2022-04-11 07:48:31,812
2022-04-11 08:48:31,841
2022-04-11 09:48:31,588
2022-04-11 10:48:31,554
2022-04-11 11:48:31,471
2022-04-11 12:48:31,399
2022-04-11 13:48:31,310
2022-04-11 14:48:31,347
2022-04-11 15:48:31,289
2022-04-11 16:48:31,382
2022-04-11 17:48:31,441
2022-04-11 18:48:31,595
2022-04-11 19:48:31,519
2022-04-11 20:48:31,538
2022-04-11 21:48:31,712
2022-04-11 22:48:31,717
2022-04-11 23:48:31,658
2022-04-12 00:48:31,669
2022-04-12 01:48:31,647
2022-04-12 02:48:31,643
2022-04-12 03:48:31,791
2022-04-12 04:48:31,1074
2022-04-12 05:48:31,1072
2022-04-12 06:48:31,878
2022-04-12 07:48:31,776
2022-04-12 08:48:31,798
2022-04-12 09:48:31,576
2022-04-12 10:48:31,436
2022-04-12 11:48:31,425
2022-04-12 12:48:31,394
2022-04-12 13:48:31,353
2022-04-12 14:48:31,364
2022-04-12 15:48:31,313
2022-04-12 16:48:31,412
2022-04-12 17:48:31,514
2022-04-12 18:48:31,450
2022-04-12 19:48:31,687
2022-04-12 20:48:31,759
2022-04-12 21:48:31,632
2022-04-12 22:48:31,743
2022-04-12 23:48:31,781
2022-04-13 00:48:31,710
2022-04-13 01:48:31,571
2022-04-13 02:48:31,669
2022-04-13 03:48:31,866
2022-04-13 04:48:31,1048
2022-04-13 05:48:31,1026
2022-04-13 06:48:31,854
2022-04-13 07:48:31,926
2022-04-13 08:48:31,846
2022-04-13 09:48:31,779
2022-04-13 10:48:31,778
2022-04-13 11:48:31,627
2022-04-13 12:48:31,512
2022-04-13 13:48:31,561
2022-04-13 14:48:31,495
2022-04-13 15:48:31,597
2022-04-13 16:48:31,508
2022-04-13 17:48:31,640
2022-04-13 18:48:31,827
2022-04-13 19:48:31,805
2022-04-13 20:48:31,1025
2022-04-13 21:48:31,1000
2022-04-13 22:48:31,1145
2022-04-13 23:48:31,1077
2022-04-14 00:48:31,931
2022-04-14 01:48:31,863
2022-04-14 02:48:31,913
2022-04-14 03:48:31,1176
2022-04-14 04:48:31,1526
2022-04-14 05:48:31,1408
2022-04-14 06:48:31,1322
2022-04-14 07:48:31,1400
2022-04-14 08:48:31,1149
2022-04-14 09:48:31,891
