Time (Hour),Load (W)
0,1883
1,1418
2,1338
3,1166
4,1174
5,1042
6,1269
7,1738
8,1859
9,1579
10,1850
11,1979
12,2139
13,2277
14,2137
15,2070
16,2000
17,2950
18,3517
19,3163
20,2965
21,2867
22,2311
23,2399
24,947
25,831
26,709
27,759
28,848
29,821
30,759
31,875
32,906
33,1443
34,1372
35,1456
36,1639
37,1428
38,1486
39,1270
40,1201
41,1786
42,2194
43,2227
44,2015
45,2039
46,1596
47,1339
48,1123
49,867
50,892
51,767
52,805
53,605
54,840
55,874
56,1218
57,1226
58,1057
59,1438
60,1471
61,1449
62,1494
63,1387
64,1354
65,1646
66,2232
67,2112
68,1868
69,1688
70,1559
71,1147
72,923
73,935
74,848
75,822
76,717
77,623
78,816
79,819
80,1011
81,1453
82,1364
83,1335
84,1378
85,1384
86,1546
87,1441
88,1269
89,1584
90,2271
91,2250
92,2157
93,1912
94,1773
95,1280
96,1121
97,831
98,854
99,927
100,618
101,612
102,662
103,888
104,951
105,1389
106,1474
107,1185
108,1345
109,1510
110,1400
111,1163
112,1561
113,1601
114,2218
115,2161
116,1809
117,1753
118,1810
119,1546
120,1100
121,948
122,728
123,805
124,855
125,750
126,827
127,857
128,1126
129,1166
130,1331
131,1372
132,1497
133,1422
134,1512
135,1159
136,1376
137,1717
138,2259
139,1967
140,2051
141,1891
142,1422
143,1152
144,1738
145,1438
146,1301
147,1117
148,1115
149,901
150,1052
151,1486
152,1480
153,1939
154,1797
155,2128
156,2115
157,1854
158,2195
159,1798
160,2155
161,2480
162,3252
163,3011
164,3195
165,2826
166,2179
167,2387
168,1654
169,1227
170,1168
171,969
172,1112
173,976
174,1034
175,1246
176,1717
177,1405
178,2049
179,2139
180,2208
181,2167
182,1908
183,2010
184,2074
185,2538
186,3030
187,2737
188,3022
189,2805
190,2283
191,2200
192,932
193,913
194,714
195,881
196,730
197,678
198,820
199,847
200,1222
201,1495
202,1100
203,1560
204,1243
205,1381
206,1252
207,1294
208,1494
209,1642
210,2284
211,1928
212,2064
213,1700
214,1888
215,1545
216,1127
217,966
218,945
219,732
220,691
221,843
222,752
223,965
224,1140
225,1034
226,1434
227,1255
228,1326
229,1389
230,1258
231,1368
232,1409
233,1742
234,2178
235,2134
236,1999
237,1752
238,1529
239,1547
240,1110
241,981
242,722
243,763
244,720
245,763
246,722
247,1074
248,1207
249,1168
250,1112
251,1601
252,1559
253,1312
254,1490
255,1507
256,1400
257,1666
258,2173
259,2134
260,2233
261,1691
262,1550
263,1198
264,1027
265,811
266,945
267,902
268,750
269,726
270,742
271,928
272,1038
273,1272
274,1291
275,1301
276,1469
277,1463
278,1192
279,1443
280,1521
281,1835
282,2271
283,2168
284,2063
285,1922
286,1508
287,1577
288,1071
289,855
290,786
291,667
292,791
293,740
294,812
295,1088
296,1013
297,1454
298,1076
299,1550
300,1353
301,1597
302,1338
303,1409
304,1422
305,1811
306,2236
307,2258
308,1922
309,1717
310,1621
311,1333
312,1676
313,1548
314,1201
315,1284
316,1334
317,1292
318,1300
319,1515
320,1805
321,1652
322,2167
323,2430
324,2557
325,2479
326,2219
327,2188
328,2407
329,2767
330,3518
331,3119
332,3377
333,2790
334,2367
335,2525
