Time (Hour),Load (W)
0,1348
1,1479
2,1303
3,1119
4,1256
5,1091
6,1069
7,1622
8,1852
9,1390
10,1570
11,2394
12,2279
13,2241
14,1917
15,2208
16,1966
17,2323
18,3210
19,2906
20,2742
21,2848
22,2718
23,1852
24,1017
25,863
26,941
27,717
28,706
29,861
30,826
31,1056
32,987
33,1538
34,1175
35,1258
36,1329
37,1318
38,1291
39,1440
40,1393
41,1899
42,2275
43,2097
44,2258
45,1961
46,1510
47,1471
48,958
49,970
50,851
51,889
52,839
53,695
54,784
55,1104
56,1082
57,1486
58,1357
59,1200
60,1385
61,1521
62,1481
63,1333
64,1283
65,1778
66,2333
67,2069
68,1783
69,1625
70,1961
71,1430
72,1161
73,981
74,884
75,674
76,674
77,639
78,737
79,854
80,1072
81,1241
82,1192
83,1465
84,1608
85,1615
86,1478
87,1274
88,1522
89,1928
90,2321
91,2088
92,1804
93,2124
94,1952
95,1394
96,1149
97,1032
98,962
99,923
100,889
101,742
102,806
103,950
104,1086
105,1039
106,1456
107,1535
108,1464
109,1493
110,1245
111,1297
112,1504
113,1732
114,2323
115,2277
116,1906
117,1969
118,1610
119,1557
120,1052
121,840
122,947
123,791
124,683
125,707
126,695
127,1042
128,1293
129,1368
130,1134
131,1543
132,1451
133,1298
134,1521
135,1347
136,1547
137,1767
138,2351
139,2232
140,1918
141,2064
142,1503
143,1550
144,1600
145,1313
146,1427
147,998
148,1146
149,1043
150,1219
151,1315
152,1647
153,2044
154,2244
155,1960
156,1946
157,2253
158,1842
159,1851
160,1735
161,2580
162,3316
163,3030
164,2872
165,3018
166,2285
167,2239
168,1563
169,1295
170,1248
171,1066
172,1144
173,966
174,946
175,1188
176,1403
177,1682
178,1968
179,2178
180,2169
181,2173
182,2164
183,1725
184,2107
185,2683
186,3160
187,2922
188,2828
189,2938
190,2135
191,1616
192,1116
193,958
194,945
195,730
196,887
197,848
198,806
199,1076
200,1233
201,1348
202,1466
203,1364
204,1364
205,1600
206,1428
207,1415
208,1523
209,1874
210,2272
211,2059
212,1955
213,1873
214,1491
215,1335
216,1041
217,968
218,783
219,891
220,838
221,846
222,726
223,995
224,1282
225,1432
226,1437
227,1596
228,1525
229,1443
230,1521
231,1435
232,1203
233,1839
234,2301
235,2241
236,1894
237,1776
238,1544
239,1456
240,1066
241,914
242,891
243,834
244,782
245,818
246,852
247,861
248,1307
249,1377
250,1084
251,1654
252,1302
253,1275
254,1307
255,1236
256,1258
257,1745
258,2314
259,2168
260,2219
261,2036
262,1885
263,1653
264,936
265,964
266,809
267,735
268,661
269,680
270,789
271,1136
272,1299
273,1010
274,1136
275,1301
276,1585
277,1564
278,1455
279,1382
280,1296
281,1766
282,2255
283,2046
284,1950
285,1821
286,1913
287,1521
288,960
289,920
290,754
291,744
292,753
293,675
294,733
295,917
296,1227
297,1531
298,1284
299,1209
300,1649
301,1376
302,1597
303,1320
304,1210
305,1779
306,2265
307,2032
308,1797
309,2012
310,1901
311,1203
312,1851
313,1515
314,1330
315,1406
316,1080
317,1256
318,1064
319,1800
320,1770
321,1803
322,2220
323,2022
324,2646
325,2323
326,2497
327,1824
328,2150
329,2738
330,3633
331,3648
332,2782
333,3145
334,2739
335,2085
